source	dest	edges	cum_dist	avg_dist_per_edge
ACE	PIP	3	0.316	0.105333333333333
ACE	KLHL1	6	0.941	0.156833333333333
ACE	FBLN2	3	0.417	0.139
ACE	DSPP	3	0.612	0.204
ACE	KCNA3	5	0.907	0.1814
ACE	MYO9A	4	0.245	0.06125
ACE	RGS20	3	0.114	0.038
ACE	INSL5	4	0.549	0.13725
ACE	STRAP	3	0.263	0.0876666666666667
ACE	CNN3	6	0.466	0.0776666666666667
ACE	NAA11	4	0.426	0.1065
ACE	TAF10	3	0.09	0.03
ACE	EYA3	5	0.704	0.1408
ACE	ZNF81	4	0.614	0.1535
ACE	TLN1	5	0.086	0.0172
ACE	MEPCE	4	0.514	0.1285
ACE	EGLN2	5	0.563	0.1126
ACE	UBA1	4	0.389	0.09725
ACE	CDCA4	4	0.89	0.2225
KAPCA	PIP	4	0.46	0.115
KAPCA	KLHL1	6	0.9	0.15
KAPCA	FBLN2	4	0.497	0.12425
KAPCA	DSPP	4	0.62	0.155
KAPCA	KCNA3	4	0.585	0.14625
KAPCA	MYO9A	5	0.243	0.0486
KAPCA	RGS20	3	0.139	0.0463333333333333
KAPCA	INSL5	3	0.566	0.188666666666667
KAPCA	STRAP	4	0.254	0.0635
KAPCA	CNN3	7	0.464	0.0662857142857143
KAPCA	NAA11	4	0.451	0.11275
KAPCA	TAF10	4	0.081	0.02025
KAPCA	EYA3	4	0.459	0.11475
KAPCA	ZNF81	4	0.599	0.14975
KAPCA	TLN1	6	0.084	0.014
KAPCA	MEPCE	4	0.499	0.12475
KAPCA	EGLN2	4	0.506	0.1265
KAPCA	UBA1	4	0.382	0.0955
KAPCA	CDCA4	4	0.872	0.218
NTKL	PIP	5	0.449	0.0898
NTKL	KLHL1	6	0.849	0.1415
NTKL	FBLN2	5	0.55	0.11
NTKL	DSPP	5	0.645	0.129
NTKL	KCNA3	7	0.792	0.113142857142857
NTKL	MYO9A	4	0.305	0.07625
NTKL	RGS20	5	0.308	0.0616
NTKL	INSL5	6	0.791	0.131833333333333
NTKL	STRAP	7	0.423	0.0604285714285714
NTKL	CNN3	6	0.594	0.099
NTKL	NAA11	6	0.584	0.0973333333333333
NTKL	TAF10	5	0.228	0.0456
NTKL	EYA3	7	0.627	0.0895714285714286
NTKL	ZNF81	5	0.711	0.1422
NTKL	TLN1	5	0.214	0.0428
NTKL	MEPCE	5	0.611	0.1222
NTKL	EGLN2	7	0.647	0.0924285714285714
NTKL	UBA1	4	0.371	0.09275
NTKL	CDCA4	5	0.987	0.1974
CALM	PIP	4	0.329	0.08225
CALM	KLHL1	4	0.712	0.178
CALM	FBLN2	4	0.43	0.1075
CALM	DSPP	4	0.615	0.15375
CALM	KCNA3	4	0.586	0.1465
CALM	MYO9A	3	0.185	0.0616666666666667
CALM	RGS20	3	0.102	0.034
CALM	INSL5	3	0.529	0.176333333333333
CALM	STRAP	5	0.227	0.0454
CALM	CNN3	4	0.429	0.10725
CALM	NAA11	4	0.797	0.19925
CALM	TAF10	4	0.082	0.0205
CALM	EYA3	3	0.351	0.117
CALM	ZNF81	5	0.586	0.1172
CALM	TLN1	3	0.049	0.0163333333333333
CALM	MEPCE	5	0.486	0.0972
CALM	EGLN2	4	0.507	0.12675
CALM	UBA1	3	0.251	0.0836666666666667
CALM	CDCA4	3	0.764	0.254666666666667
ACHA4	PIP	5	0.427	0.0854
ACHA4	KLHL1	6	0.882	0.147
ACHA4	FBLN2	5	0.528	0.1056
ACHA4	DSPP	4	0.703	0.17575
ACHA4	KCNA3	5	0.745	0.149
ACHA4	MYO9A	5	0.336	0.0672
ACHA4	RGS20	5	0.25	0.05
ACHA4	INSL5	5	0.768	0.1536
ACHA4	STRAP	4	0.337	0.08425
ACHA4	CNN3	7	0.557	0.0795714285714286
ACHA4	NAA11	6	0.546	0.091
ACHA4	TAF10	4	0.164	0.041
ACHA4	EYA3	6	0.604	0.100666666666667
ACHA4	ZNF81	6	0.688	0.114666666666667
